dataset,split,model,prediction_level,TP,FP,FN,F1,Precision,Recall
docred,dev,en_core_web_sm,sentence,18510,6874,7526,0.7199533255542591,0.7291994957453514,0.7109387002611768
docred,dev,en_core_web_sm,document,18464,6916,7572,0.7182200093356154,0.7275019700551616,0.7091719158088801
docred,dev,en_core_web_lg,sentence,19001,6865,7035,0.7321875842934762,0.734593675094719,0.7297972038715624
docred,dev,en_core_web_lg,document,18921,6881,7115,0.7300050156256028,0.7333152468800869,0.7267245352588724
docred,dev,en_core_web_trf,sentence,19424,6602,6612,0.7461872382928048,0.7463305924844387,0.7460439391611615
docred,dev,en_core_web_trf,document,19069,6822,6967,0.7344541375392378,0.7365107566335792,0.732408972192349
docred,test,en_core_web_sm,sentence,18733,6861,7699,0.7201399300349826,0.7319293584433851,0.7087242736077481
docred,test,en_core_web_sm,document,18693,6901,7739,0.718602237342867,0.7303664921465969,0.7072109564164649
docred,test,en_core_web_lg,sentence,19356,6830,7076,0.7357178151963206,0.7391736042159933,0.7322941888619855
docred,test,en_core_web_lg,document,19290,6840,7142,0.733990335223165,0.7382319173363949,0.729797215496368
docred,test,en_core_web_trf,sentence,19828,6595,6604,0.7502790653675149,0.750406842523559,0.7501513317191283
docred,test,en_core_web_trf,document,19294,6977,7138,0.7321784338652448,0.7344219862205473,0.7299485472154964
redocred,dev,en_core_web_sm,sentence,9336,3509,3817,0.7182090930071544,0.7268197742312184,0.7098000456169695
redocred,dev,en_core_web_sm,document,9302,3531,3851,0.7159239590548757,0.7248499961037949,0.7072150840112522
redocred,dev,en_core_web_lg,sentence,9599,3485,3554,0.7317147539733964,0.7336441455212473,0.7297954839200183
redocred,dev,en_core_web_lg,document,9554,3495,3599,0.7292573086023968,0.7321633841673691,0.7263742112065689
redocred,dev,en_core_web_trf,sentence,9849,3345,3304,0.7476373021596386,0.7464756707594361,0.7488025545502927
redocred,dev,en_core_web_trf,document,9644,3456,3509,0.7346969870110083,0.7361832061068703,0.7332167566334676
redocred,test,en_core_web_sm,sentence,9214,3377,3735,0.7215348472983555,0.7317925502342943,0.7115607382809483
redocred,test,en_core_web_sm,document,9203,3397,3746,0.7204195858937728,0.7303968253968254,0.7107112518341184
redocred,test,en_core_web_lg,sentence,9448,3396,3501,0.7326018687240724,0.7355963874182497,0.7296316317862384
redocred,test,en_core_web_lg,document,9413,3402,3536,0.7307095171557212,0.7345298478345689,0.726928720364507
redocred,test,en_core_web_trf,sentence,9623,3277,3326,0.7445549150837557,0.745968992248062,0.7431461888948954
redocred,test,en_core_web_trf,document,9466,3394,3483,0.7335425626719362,0.7360808709175739,0.7310217005174144
